Subject	Predicate	Object	Label	Calibrated Probability
uvrB	confers resistance to antibiotic	Norfloxacin	1	0.99646018
sspB	confers resistance to antibiotic	Norfloxacin	1	0.99646018
deoC	confers resistance to antibiotic	Norfloxacin	1	0.99646018
deoB	confers resistance to antibiotic	Norfloxacin	1	0.99646018
sspA	confers resistance to antibiotic	Norfloxacin	1	0.99646018
deoA	confers resistance to antibiotic	Norfloxacin	1	0.99646018
rlmN	confers resistance to antibiotic	Norfloxacin	1	0.99646018
yeeN	confers resistance to antibiotic	Norfloxacin	1	0.99646018
greA	confers resistance to antibiotic	Norfloxacin	1	0.99646018
uvrA	confers resistance to antibiotic	Norfloxacin	1	0.99646018
rpmG	confers resistance to antibiotic	Norfloxacin	1	0.99646018
sulA	confers resistance to antibiotic	Norfloxacin	1	0.99646018
ylaC	confers resistance to antibiotic	Norfloxacin	1	0.99646018
rpoS	confers resistance to antibiotic	Kanamycin	1	0.99646018
yhjG	confers resistance to antibiotic	Norfloxacin	1	0.99617191
queG	confers resistance to antibiotic	Norfloxacin	1	0.99615226
mcrB	confers resistance to antibiotic	Norfloxacin	1	0.99615226
polB	confers resistance to antibiotic	Norfloxacin	1	0.99608636
yagP	confers resistance to antibiotic	Norfloxacin	1	0.99608636
guaA	confers resistance to antibiotic	Rifampin	1	0.98913576
purN	confers resistance to antibiotic	Rifampin	1	0.98913576
apt	confers resistance to antibiotic	Rifampin	1	0.98913576
atpF	confers resistance to antibiotic	Hygromycin B	1	0.9748001
guaC	confers resistance to antibiotic	Rifampin	1	0.97326769
atpD	confers resistance to antibiotic	Hygromycin B	1	0.9685501
yghB	confers resistance to antibiotic	Norfloxacin	1	0.96804228
ydiY	confers resistance to antibiotic	Norfloxacin	1	0.96392997
guaB	confers resistance to antibiotic	Rifampin	1	0.96114162
ndk	confers resistance to antibiotic	Rifampin	1	0.95489162
recF	confers resistance to antibiotic	Metronidazole	1	0.94373574
dinG	confers resistance to antibiotic	Metronidazole	1	0.9367098
fepA	confers resistance to antibiotic	Ampicillin	1	0.92748471
uhpT	confers resistance to antibiotic	Ampicillin	1	0.90342456
recB	confers resistance to antibiotic	Metronidazole	1	0.88545243
surA	confers resistance to antibiotic	Vancomycin	1	0.88180187
acrF	confers resistance to antibiotic	Ampicillin	1	0.87732598
rpmF	confers resistance to antibiotic	Metronidazole	1	0.869958
fecA	confers resistance to antibiotic	Ampicillin	1	0.86810116
dnaJ	confers resistance to antibiotic	Spectinomycin	1	0.85363967
fhiA	confers resistance to antibiotic	Ampicillin	1	0.8534474
yebE	confers resistance to antibiotic	Norfloxacin	1	0.83340226
mltB	confers resistance to antibiotic	Ampicillin	1	0.82294372
ycjU	confers resistance to antibiotic	Metronidazole	1	0.81430324
yebF	confers resistance to antibiotic	Norfloxacin	1	0.81371841
speA	confers resistance to antibiotic	Rifampin	1	0.79337474
ycjU	confers resistance to antibiotic	Triclosan	1	0.78479042
lrp	confers resistance to antibiotic	Geneticin	1	0.76480331
fis	confers resistance to antibiotic	Troleandomycin	1	0.75177904
waaC	confers resistance to antibiotic	Spectinomycin	1	0.75087108
srmB	confers resistance to antibiotic	Rifampin	1	0.74900773
nuoM	confers resistance to antibiotic	Amoxicillin	1	0.7461039
ybeY	confers resistance to antibiotic	Metronidazole	1	0.73627481
yifK	confers resistance to antibiotic	Ampicillin	1	0.73487809
bglF	confers resistance to antibiotic	Ampicillin	1	0.73487809
gyrA	confers resistance to antibiotic	Novobiocin	1	0.72521457
waaQ	confers resistance to antibiotic	Spectinomycin	1	0.71582714
parE	confers resistance to antibiotic	Levofloxacin	1	0.71495606
atpB	confers resistance to antibiotic	Hygromycin B	1	0.71134358
rcsF	confers resistance to antibiotic	Ampicillin	1	0.70615058
gyrB	confers resistance to antibiotic	Levofloxacin	1	0.69848984
ompN	confers resistance to antibiotic	Norfloxacin	1	0.69817465
purA	confers resistance to antibiotic	Cephradine	1	0.69068542
waaF	confers resistance to antibiotic	Triclosan	1	0.67857143
