Subject	Predicate	Object	Label	Calibrated Probability
deoC	confers resistance to antibiotic	Norfloxacin	1	1
greA	confers resistance to antibiotic	Norfloxacin	1	1
rpmG	confers resistance to antibiotic	Norfloxacin	1	0.99764706
uvrB	confers resistance to antibiotic	Norfloxacin	1	0.99075051
deoA	confers resistance to antibiotic	Norfloxacin	1	0.99075051
uvrA	confers resistance to antibiotic	Norfloxacin	1	0.99075051
sspB	confers resistance to antibiotic	Norfloxacin	1	0.98590864
rpoS	confers resistance to antibiotic	Kanamycin	1	0.98590864
deoB	confers resistance to antibiotic	Norfloxacin	1	0.98590864
sspA	confers resistance to antibiotic	Norfloxacin	1	0.97831769
ylaC	confers resistance to antibiotic	Norfloxacin	1	0.97647275
rlmN	confers resistance to antibiotic	Norfloxacin	1	0.97390864
yeeN	confers resistance to antibiotic	Norfloxacin	1	0.97390864
sulA	confers resistance to antibiotic	Norfloxacin	1	0.97390864
purN	confers resistance to antibiotic	Rifampin	1	0.96884344
apt	confers resistance to antibiotic	Rifampin	1	0.9575391
yhjG	confers resistance to antibiotic	Norfloxacin	1	0.95717783
queG	confers resistance to antibiotic	Norfloxacin	1	0.95461372
mcrB	confers resistance to antibiotic	Norfloxacin	1	0.95461372
guaA	confers resistance to antibiotic	Rifampin	1	0.94935082
yagP	confers resistance to antibiotic	Norfloxacin	1	0.94381487
dinG	confers resistance to antibiotic	Metronidazole	1	0.93739037
recF	confers resistance to antibiotic	Metronidazole	1	0.93503464
recB	confers resistance to antibiotic	Metronidazole	1	0.92578963
polB	confers resistance to antibiotic	Norfloxacin	1	0.92215758
rpmF	confers resistance to antibiotic	Metronidazole	1	0.91748786
guaB	confers resistance to antibiotic	Rifampin	1	0.91126513
dnaJ	confers resistance to antibiotic	Spectinomycin	1	0.90416243
fepA	confers resistance to antibiotic	Ampicillin	1	0.89544943
guaC	confers resistance to antibiotic	Rifampin	1	0.89420895
ndk	confers resistance to antibiotic	Rifampin	1	0.87048886
yghB	confers resistance to antibiotic	Norfloxacin	1	0.86666821
ycjU	confers resistance to antibiotic	Metronidazole	1	0.86317471
surA	confers resistance to antibiotic	Vancomycin	1	0.84709702
uhpT	confers resistance to antibiotic	Ampicillin	1	0.8334234
acrF	confers resistance to antibiotic	Ampicillin	1	0.83272775
fecA	confers resistance to antibiotic	Ampicillin	1	0.82062609
fhiA	confers resistance to antibiotic	Ampicillin	1	0.81583618
ydiY	confers resistance to antibiotic	Norfloxacin	1	0.80839318
yifK	confers resistance to antibiotic	Ampicillin	1	0.80356991
bglF	confers resistance to antibiotic	Ampicillin	1	0.80356991
mltB	confers resistance to antibiotic	Ampicillin	1	0.7898565
yebE	confers resistance to antibiotic	Norfloxacin	1	0.77853459
gyrA	confers resistance to antibiotic	Novobiocin	1	0.77406705
nuoM	confers resistance to antibiotic	Amoxicillin	1	0.74586278
dam	confers resistance to antibiotic	Metronidazole	1	0.72515295
rcsF	confers resistance to antibiotic	Ampicillin	1	0.72179825
waaC	confers resistance to antibiotic	Spectinomycin	1	0.71643362
waaP	confers resistance to antibiotic	Spectinomycin	1	0.70096816
rplA	confers resistance to antibiotic	Metronidazole	1	0.70096816
waaQ	confers resistance to antibiotic	Spectinomycin	1	0.68803856
yebF	confers resistance to antibiotic	Norfloxacin	1	0.66911003
speA	confers resistance to antibiotic	Rifampin	1	0.645061
srmB	confers resistance to antibiotic	Rifampin	1	0.60106951
acrB	confers resistance to antibiotic	Metronidazole	1	0.56767607
speD	confers resistance to antibiotic	Rifampin	1	0.5570529
ybeY	confers resistance to antibiotic	Metronidazole	1	0.54321045
cysB	confers resistance to antibiotic	Novobiocin	1	0.49060933
nfuA	confers resistance to antibiotic	Kanamycin	1	0.44777081
rfaD	confers resistance to antibiotic	Vancomycin	1	0.44289812
acrB	confers resistance to antibiotic	Spectinomycin	1	0.43289764
purD	confers resistance to antibiotic	Rifampin	1	0.40138587
ompN	confers resistance to antibiotic	Norfloxacin	1	0.37829604
acrA	confers resistance to antibiotic	Spectinomycin	1	0.3691288
surA	confers resistance to antibiotic	Spectinomycin	1	0.36246753
fliZ	confers resistance to antibiotic	Norfloxacin	1	0.36191418
rpoD	confers resistance to antibiotic	Rifampin	1	0.32470395
recR	confers resistance to antibiotic	Metronidazole	1	0.31440092
lpoB	confers resistance to antibiotic	Ampicillin	1	0.31302401
asmA	confers resistance to antibiotic	Vancomycin	1	0.29804268
ybgC	confers resistance to antibiotic	Vancomycin	1	0.24121883
lpd	confers resistance to antibiotic	Amoxicillin	1	0.19752416
lldP	confers resistance to antibiotic	Ampicillin	1	0.17225915
recC	confers resistance to antibiotic	Norfloxacin	1	0.15847594
gyrB	confers resistance to antibiotic	Norfloxacin	1	0.14909969
yncL	confers resistance to antibiotic	Norfloxacin	1	0
yrdE	confers resistance to antibiotic	Norfloxacin	1	0
hemL	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
tpx	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
mdtE	confers resistance to antibiotic	Norfloxacin	1	0
dgcZ	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
ykgR	confers resistance to antibiotic	Norfloxacin	1	0
ymfK	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
hxpB	confers resistance to antibiotic	Norfloxacin	1	0
nadD	confers resistance to antibiotic	Norfloxacin	1	0.00E+00
mokA	confers resistance to antibiotic	Norfloxacin	1	0
dnaC	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
lgt	confers resistance to antibiotic	Norfloxacin	1	0
insE-2	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
rplN	confers resistance to antibiotic	Norfloxacin	1	0.00024209
ompR	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
yibJ	confers resistance to antibiotic	Norfloxacin	1	0.00E+00
yjbS	confers resistance to antibiotic	Norfloxacin	1	0
rpsA	confers resistance to antibiotic	Norfloxacin	1	0.00024209
ymiB	confers resistance to antibiotic	Norfloxacin	1	0
ykiB	confers resistance to antibiotic	Norfloxacin	1	0
glsA2	confers resistance to antibiotic	Norfloxacin	1	0.00E+00
secD	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
ftsA	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
hemB	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
mrdA	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
ysaC	confers resistance to antibiotic	Norfloxacin	1	0.00E+00
pyrH	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
marC	confers resistance to antibiotic	Norfloxacin	1	0
insB-7	confers resistance to antibiotic	Norfloxacin	1	0.00E+00
dgcC	confers resistance to antibiotic	Norfloxacin	1	0.00E+00
ykgP	confers resistance to antibiotic	Norfloxacin	1	0
lpxC	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
rnhA	confers resistance to antibiotic	Norfloxacin	1	6.89E-04
srlA	confers resistance to antibiotic	Norfloxacin	1	0
crfC	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
ghxP	confers resistance to antibiotic	Norfloxacin	1	0
ydgD	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
pgsA	confers resistance to antibiotic	Norfloxacin	1	0
folC	confers resistance to antibiotic	Norfloxacin	1	0
yehH	confers resistance to antibiotic	Norfloxacin	1	0
qorB	confers resistance to antibiotic	Norfloxacin	1	0
tolC	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
dnaE	confers resistance to antibiotic	Norfloxacin	1	0.00068852
rplL	confers resistance to antibiotic	Norfloxacin	1	0
rplF	confers resistance to antibiotic	Norfloxacin	1	0
