Subject	Predicate	Object	Belief	Source size	Sources	Total source size	Mean belief of conflicting tuples	Belief difference	Conflicting tuple info
aceE	confers no resistance to antibiotic	Cefoxitin	0.3193430713	2	Nichols,Girgis	3	0.2562972460	0.0630458253	[(('aceE', 'confers resistance to antibiotic', 'Cefoxitin'), ['Liu'], 0.2562972459573383)]
aceE	confers no resistance to antibiotic	Vancomycin	0.4189666692	2	Nichols,Tamae	3	0.2562972460	0.1626694232	[(('aceE', 'confers resistance to antibiotic', 'Vancomycin'), ['Liu'], 0.2562972459573383)]
aceF	confers resistance to antibiotic	Aztreonam	0.2562972460	1	Liu	3	0.2186682372	0.0376290087	[(('aceF', 'confers no resistance to antibiotic', 'Aztreonam'), ['Nichols', 'Soo'], 0.21866823724750575)]
aceF	confers no resistance to antibiotic	Cefoxitin	0.3193430713	2	Nichols,Girgis	3	0.2562972460	0.0630458253	[(('aceF', 'confers resistance to antibiotic', 'Cefoxitin'), ['Liu'], 0.2562972459573383)]
aceF	confers no resistance to antibiotic	Nitrofurantoin	0.4061240970	3	Nichols,Girgis,Soo	4	0.2562972460	0.1498268511	[(('aceF', 'confers resistance to antibiotic', 'Nitrofurantoin'), ['Liu'], 0.2562972459573383)]
aceF	confers no resistance to antibiotic	Triclosan	0.2562972460	1	Liu	2	0.1318872115	0.1244100345	[(('aceF', 'confers resistance to antibiotic', 'Triclosan'), ['Nichols'], 0.13188721148439436)]
acpT	confers no resistance to antibiotic	Tobramycin	0.4061240970	3	Nichols,Girgis,Soo	4	0.2562972460	0.1498268511	[(('acpT', 'confers resistance to antibiotic', 'Tobramycin'), ['Liu'], 0.2562972459573383)]
acrA	confers resistance to antibiotic	Ampicillin	0.6893778434	4	Nichols,Tamae,Liu,CARD	6	0.3247360849	0.3646417585	[(('acrA', 'confers no resistance to antibiotic', 'Ampicillin'), ['Girgis', 'Shaw'], 0.32473608489189504)]
acrA	confers no resistance to antibiotic	Bleomycin	0.1874558598	1	Girgis	2	0.1318872115	0.0555686483	[(('acrA', 'confers resistance to antibiotic', 'Bleomycin'), ['Nichols'], 0.13188721148439436)]
acrA	confers no resistance to antibiotic	Cefoxitin	0.3193430713	2	Nichols,Girgis	3	0.2562972460	0.0630458253	[(('acrA', 'confers resistance to antibiotic', 'Cefoxitin'), ['Liu'], 0.2562972459573383)]
acrA	confers no resistance to antibiotic	Cephalothin	0.0867810258	1	Soo	2	0.0141139283	0.0726670975	[(('acrA', 'confers resistance to antibiotic', 'Cephalothin'), ['CARD'], 0.014113928291972805)]
acrA	confers resistance to antibiotic	Ciprofloxacin	0.6752639151	3	Nichols,Tamae,Liu	4	0.0867810258	0.5884828893	[(('acrA', 'confers no resistance to antibiotic', 'Ciprofloxacin'), ['Soo'], 0.08678102576311139)]
acrA	confers resistance to antibiotic	Enoxacin	0.2562972460	1	Liu	2	0.0867810258	0.1695162202	[(('acrA', 'confers no resistance to antibiotic', 'Enoxacin'), ['Soo'], 0.08678102576311139)]
acrA	confers resistance to antibiotic	Erythromycin	0.3881844574	2	Nichols,Liu	4	0.2742368856	0.1139475719	[(('acrA', 'confers no resistance to antibiotic', 'Erythromycin'), ['Girgis', 'Soo'], 0.27423688556065673)]
acrA	confers resistance to antibiotic	Fusidic acid	0.3881844574	2	Nichols,Liu	4	0.2742368856	0.1139475719	[(('acrA', 'confers no resistance to antibiotic', 'Fusidic acid'), ['Girgis', 'Soo'], 0.27423688556065673)]
acrA	confers no resistance to antibiotic	Gentamicins	0.6064225289	3	Nichols,Tamae,Girgis	4	0.2562972460	0.3501252830	[(('acrA', 'confers resistance to antibiotic', 'Gentamicins'), ['Liu'], 0.2562972459573383)]
acrA	confers no resistance to antibiotic	Metronidazole	0.2870794577	1	Tamae	2	0.2562972460	0.0307822117	[(('acrA', 'confers resistance to antibiotic', 'Metronidazole'), ['Liu'], 0.2562972459573383)]
acrA	confers no resistance to antibiotic	Nitrofurantoin	0.4061240970	3	Nichols,Girgis,Soo	4	0.2562972460	0.1498268511	[(('acrA', 'confers resistance to antibiotic', 'Nitrofurantoin'), ['Liu'], 0.2562972459573383)]
acrA	confers resistance to antibiotic	Puromycin	0.1318872115	1	Nichols	2	0.0867810258	0.0451061857	[(('acrA', 'confers no resistance to antibiotic', 'Puromycin'), ['Soo'], 0.08678102576311139)]
acrA	confers resistance to antibiotic	Rifampin	0.5574906319	3	Tamae,Liu,CARD	6	0.3559484623	0.2015421696	[(('acrA', 'confers no resistance to antibiotic', 'Rifampin'), ['Nichols', 'Soo', 'Shaw'], 0.35594846234185545)]
acrA	confers resistance to antibiotic	Spectinomycin	0.2562972460	1	Liu	2	0.1318872115	0.1244100345	[(('acrA', 'confers no resistance to antibiotic', 'Spectinomycin'), ['Nichols'], 0.13188721148439436)]
acrA	confers resistance to antibiotic	Spiramycin	0.1318872115	1	Nichols	2	0.0867810258	0.0451061857	[(('acrA', 'confers no resistance to antibiotic', 'Spiramycin'), ['Soo'], 0.08678102576311139)]
acrA	confers resistance to antibiotic	Streptomycin	0.2562972460	1	Liu	2	0.1874558598	0.0688413862	[(('acrA', 'confers no resistance to antibiotic', 'Streptomycin'), ['Girgis'], 0.18745585979754537)]
acrA	confers no resistance to antibiotic	Sulfamethoxazole	0.2870794577	1	Tamae	2	0.2562972460	0.0307822117	[(('acrA', 'confers resistance to antibiotic', 'Sulfamethoxazole'), ['Liu'], 0.2562972459573383)]
acrA	confers resistance to antibiotic	Tetracycline	0.3881844574	2	Nichols,Liu	3	0.1874558598	0.2007285976	[(('acrA', 'confers no resistance to antibiotic', 'Tetracycline'), ['Girgis'], 0.18745585979754537)]
acrA	confers no resistance to antibiotic	Tobramycin	0.4061240970	3	Nichols,Girgis,Soo	5	0.2704111742	0.1357129228	[(('acrA', 'confers resistance to antibiotic', 'Tobramycin'), ['Liu', 'CARD'], 0.27041117424931116)]
acrA	confers no resistance to antibiotic	Trimethoprim	0.2742368856	2	Girgis,Soo	3	0.1318872115	0.1423496741	[(('acrA', 'confers resistance to antibiotic', 'Trimethoprim'), ['Nichols'], 0.13188721148439436)]
acrB	confers resistance to antibiotic	Ampicillin	0.8768337032	5	Nichols,Tamae,Liu,Girgis,CARD	6	0.1372802251	0.7395534781	[(('acrB', 'confers no resistance to antibiotic', 'Ampicillin'), ['Shaw'], 0.1372802250943497)]
acrB	confers resistance to antibiotic	Cefoxitin	0.4437531058	2	Liu,Girgis	3	0.1318872115	0.3118658943	[(('acrB', 'confers no resistance to antibiotic', 'Cefoxitin'), ['Nichols'], 0.13188721148439436)]
acrB	confers no resistance to antibiotic	Cephalothin	0.0867810258	1	Soo	2	0.0141139283	0.0726670975	[(('acrB', 'confers resistance to antibiotic', 'Cephalothin'), ['CARD'], 0.014113928291972805)]
acrB	confers resistance to antibiotic	Ciprofloxacin	0.5433767036	2	Tamae,Liu	4	0.2186682372	0.3247084664	[(('acrB', 'confers no resistance to antibiotic', 'Ciprofloxacin'), ['Nichols', 'Soo'], 0.21866823724750575)]
acrB	confers resistance to antibiotic	Enoxacin	0.2562972460	1	Liu	2	0.0867810258	0.1695162202	[(('acrB', 'confers no resistance to antibiotic', 'Enoxacin'), ['Soo'], 0.08678102576311139)]
