Subject	Predicate	Object	Belief	Source size	Sources	Total source size	Mean belief of conflicting tuples	Belief difference	Conflicting tuple info
aceE	confers no resistance to antibiotic	Cefoxitin	0.3191256833	2	Nichols,Girgis	3	0.2561280647	0.0629976185	[(('aceE', 'confers resistance to antibiotic', 'Cefoxitin'), ['Liu'], 0.2561280647347978)]
aceE	confers no resistance to antibiotic	Vancomycin	0.5528662370	3	Nichols,Tamae,Youn	4	0.2561280647	0.2967381723	[(('aceE', 'confers resistance to antibiotic', 'Vancomycin'), ['Liu'], 0.2561280647347978)]
aceF	confers resistance to antibiotic	Aztreonam	0.2561280647	1	Liu	3	0.2185201863	0.0376078785	[(('aceF', 'confers no resistance to antibiotic', 'Aztreonam'), ['Nichols', 'Soo'], 0.2185201862582775)]
aceF	confers no resistance to antibiotic	Cefoxitin	0.3191256833	2	Nichols,Girgis	3	0.2561280647	0.0629976185	[(('aceF', 'confers resistance to antibiotic', 'Cefoxitin'), ['Liu'], 0.2561280647347978)]
aceF	confers no resistance to antibiotic	Nitrofurantoin	0.4058312599	3	Nichols,Girgis,Soo	4	0.2561280647	0.1497031952	[(('aceF', 'confers resistance to antibiotic', 'Nitrofurantoin'), ['Liu'], 0.2561280647347978)]
aceF	confers no resistance to antibiotic	Triclosan	0.2561280647	1	Liu	2	0.1318146096	0.1243134551	[(('aceF', 'confers resistance to antibiotic', 'Triclosan'), ['Nichols'], 0.13181460964368608)]
acpT	confers no resistance to antibiotic	Tobramycin	0.4058312599	3	Nichols,Girgis,Soo	4	0.2561280647	0.1497031952	[(('acpT', 'confers resistance to antibiotic', 'Tobramycin'), ['Liu'], 0.2561280647347978)]
acrA	confers resistance to antibiotic	Ampicillin	0.6893759421	4	Nichols,Tamae,Liu,CARD	6	0.3247244479	0.3646514941	[(('acrA', 'confers no resistance to antibiotic', 'Ampicillin'), ['Girgis', 'Shaw'], 0.3247244479032807)]
acrA	confers no resistance to antibiotic	Bleomycin	0.1873110736	1	Girgis	2	0.1318146096	0.0554964640	[(('acrA', 'confers resistance to antibiotic', 'Bleomycin'), ['Nichols'], 0.13181460964368608)]
acrA	confers no resistance to antibiotic	Cefoxitin	0.3191256833	2	Nichols,Girgis	3	0.2561280647	0.0629976185	[(('acrA', 'confers resistance to antibiotic', 'Cefoxitin'), ['Liu'], 0.2561280647347978)]
acrA	confers no resistance to antibiotic	Cephalothin	0.0867055766	1	Soo	2	0.0141003900	0.0726051867	[(('acrA', 'confers resistance to antibiotic', 'Cephalothin'), ['CARD'], 0.014100389954862283)]
