Entity	Relation	Value	Iteration of Promotion	Probability	Source	Candidate Source
crp	activates	galP		0.2		
gntR	represses	gntX		0.2		
fnr	represses	cyoC		0.2		
lrp	activates	serA		0.2		
fis	activates	glpC		0.2		
arcA	activates	hyaC		0.2		
cpxR	activates	ftnB		0.2		
arcA	activates	infB		0.2		
arcA	activates	trxA		0.2		
csgD	represses	flgM		0.2		
arcA	represses	hcaR		0.2		
mlrA	activates	csgF		0.2		
cytR	represses	cdd		0.2		
marA	activates	marA		0.2		
creB	represses	malE		0.2		
lrp	represses	radA		0.2		
lexA	represses	rpoD		0.2		
arcA	activates	proL		0.2		
fur	represses	sufA		0.2		
fliZ	represses	csgA		0.2		
narP	activates	ccmA		0.2		
yedW	represses	cyoE		0.2		
lrp	activates	aspA		0.2		
fur	represses	entS		0.2		
fnr	activates	hypE		0.2		
crp	activates	nadC		0.2		
cra	activates	aceB		0.2		
arcA	represses	puuC		0.2		
cra	represses	fbaA		0.2		
crp	activates	nfuA		0.2		
hns	represses	alaV		0.2		
lrp	activates	stpA		0.2		
trpR	represses	trpE		0.2		
csgD	represses	fliI		0.2		
phoB	activates	pstB		0.2		
fnr	activates	aspC		0.2		
iscR	activates	sufC		0.2		
fnr	represses	gltD		0.2		
cra	activates	aceA		0.2		
rbsR	represses	rbsD		0.2		
nagC	represses	creC		0.2		
lrp	represses	rrlH		0.2		
sutR	represses	tcyJ		0.2		
gadE	activates	skp		0.2		
argR	represses	yahA		0.2		
arcA	activates	sucC		0.2		
mlc	represses	manZ		0.2		
modE	represses	oppD		0.2		
argR	represses	pnp		0.2		
crp	activates	nuoA		0.2		
crp	represses	sdaB		0.2		
cra	represses	yhfU		0.2		
fis	activates	nuoM		0.2		
crp	activates	deoA		0.2		
crp	activates	paaI		0.2		
ypdB	activates	yhjX		0.2		
fnr	activates	frdB		0.2		
arcA	activates	paaG		0.2		
uidR	represses	uidB		0.2		
arcA	represses	kdpB		0.2		
lldR	activates	lldP		0.2		
argR	represses	rfaS		0.2		
fliZ	represses	gadF		0.2		
arcA	activates	moeB		0.2		
narP	activates	hcr		0.2		
dhaR	activates	dhaK		0.2		
arcA	activates	pntA		0.2		
pdhR	activates	fecE		0.2		
nsrR	represses	fhlA		0.2		
fnr	activates	guaB		0.2		
cra	activates	glk		0.2		
fnr	represses	nrdA		0.2		
purR	represses	codA		0.2		
arcA	represses	argG		0.2		
lrp	represses	lolE		0.2		
modE	activates	napC		0.2		
pdhR	represses	murG		0.2		
arcA	represses	fnr		0.2		
oxyR	represses	uxuA		0.2		
marA	represses	dctR		0.2		
fur	activates	sucC		0.2		
zntR	activates	zntA		0.2		
crp	represses	infB		0.2		
tyrR	represses	tyrB		0.2		
fnr	represses	hyfI		0.2		
fis	activates	nuoJ		0.2		
arcA	activates	dnaN		0.2		
fur	represses	garP		0.2		
cra	represses	sgrS		0.2		
fnr	represses	narL		0.2		
crp	activates	malG		0.2		
fis	activates	carA		0.2		
cra	represses	gapA		0.2		
crp	activates	araJ		0.2		
csgD	represses	fliG		0.2		
mazE	represses	mazG		0.2		
crp	represses	yhfA		0.2		
fadR	activates	fabB		0.2		
uxuR	represses	gntP		0.2		
arcA	represses	caiE		0.2		
crp	activates	gatY		0.2		
cpxR	represses	psd		0.2		
fur	represses	soxR		0.2		
fnr	activates	tfaQ		0.2		
fadR	activates	fabA		0.2		
nac	activates	codB		0.2		
fnr	activates	rplD		0.2		
zur	represses	znuB		0.2		
phoB	activates	cusS		0.2		
crp	represses	pspE		0.2		
hns	represses	mdtF		0.2		
trpR	represses	mdtL		0.2		
argR	represses	hisQ		0.2		
crp	represses	lldD		0.2		
argR	activates	astB		0.2		
purR	represses	purM		0.2		
pdhR	represses	ndh		0.2		
crp	activates	fepA		0.2		
csgD	activates	csgG		0.2		
crp	represses	lamB		0.2		
leuO	activates	cas2		0.2		
arcA	activates	ybjX		0.2		
arcA	represses	recF		0.2		
arcA	represses	gabT		0.2		
narL	represses	ynfG		0.2		
oxyR	activates	mntH		0.2		
purR	represses	pyrI		0.2		
oxyR	activates	sufA		0.2		
crp	represses	gadX		0.2		
ntrC	activates	potG		0.2		
cysB	activates	tauB		0.2		
cra	represses	yibQ		0.2		
ompR	activates	csgF		0.2		
csgD	activates	nlpA		0.2		
arcA	activates	paaD		0.2		
crp	represses	glcF		0.2		
crp	activates	araF		0.2		
fnr	represses	ychO		0.2		
soxS	activates	ybjC		0.2		
holD	generalizations	object		0.2		
nagZ	generalizations	object		0.2		
glpC	generalizations	object		0.2		
dicA	generalizations	object		0.2		
insA-3	generalizations	object		0.2		
aldA	generalizations	object		0.2		
gutQ	generalizations	object		0.2		
yhbQ	generalizations	object		0.2		
ydbA	generalizations	object		0.2		
yaiO	generalizations	object		0.2		
yohF	generalizations	object		0.2		
dedD	generalizations	object		0.2		
yjiN	generalizations	object		0.2		
yfcU	generalizations	object		0.2		
menE	generalizations	object		0.2		
yheO	generalizations	object		0.2		
baeS	generalizations	object		0.2		
yibT	generalizations	object		0.2		
rimN	generalizations	object		0.2		
yhdL	generalizations	object		0.2		
yedR	generalizations	object		0.2		
sgcC	generalizations	object		0.2		
yadH	generalizations	object		0.2		
atpI	generalizations	object		0.2		
yeaQ	generalizations	object		0.2		
ymfD	generalizations	object		0.2		
mdtD	generalizations	object		0.2		
rplU	generalizations	object		0.2		
caiT	generalizations	object		0.2		
ydcL	generalizations	object		0.2		
hokE	generalizations	object		0.2		
ydhU	generalizations	object		0.2		
ynbD	generalizations	object		0.2		
gor	generalizations	object		0.2		
yraM	generalizations	object		0.2		
cra	generalizations	object		0.2		
ydaC	generalizations	object		0.2		
oppB	generalizations	object		0.2		
livH	generalizations	object		0.2		
scpB	generalizations	object		0.2		
cysE	generalizations	object		0.2		
fimF	generalizations	object		0.2		
glgC	generalizations	object		0.2		
ybcY	generalizations	object		0.2		
yeaG	generalizations	object		0.2		
phoH	generalizations	object		0.2		
rdgB	generalizations	object		0.2		
gcd	generalizations	object		0.2		
gspK	generalizations	object		0.2		
malE	generalizations	object		0.2		
rpsH	generalizations	object		0.2		
yjiE	generalizations	object		0.2		
acrE	generalizations	object		0.2		
treC	generalizations	object		0.2		
ylcG	generalizations	object		0.2		
ydhP	generalizations	object		0.2		
rbsK	generalizations	object		0.2		
araJ	generalizations	object		0.2		
nrfD	generalizations	object		0.2		
ybhI	generalizations	object		0.2		
ygiF	generalizations	object		0.2		
ybbO	generalizations	object		0.2		
dos	generalizations	object		0.2		
ssuA	generalizations	object		0.2		
pdxB	generalizations	object		0.2		
sbcD	generalizations	object		0.2		
aroP	generalizations	object		0.2		
putP	generalizations	object		0.2		
helD	generalizations	object		0.2		
yajO	generalizations	object		0.2		
rlpB	generalizations	object		0.2		
yfbS	generalizations	object		0.2		
galU	generalizations	object		0.2		
betT	generalizations	object		0.2		
yaeP	generalizations	object		0.2		
dhaM	generalizations	object		0.2		
ychM	generalizations	object		0.2		
rfaZ	generalizations	object		0.2		
ypjJ	generalizations	object		0.2		
pgpA	generalizations	object		0.2		
ugpE	generalizations	object		0.2		
ydiO	generalizations	object		0.2		
purC	generalizations	object		0.2		
yafD	generalizations	object		0.2		
ybeL	generalizations	object		0.2		
pheP	generalizations	object		0.2		
mntH	generalizations	object		0.2		
yejB	generalizations	object		0.2		
kefB	generalizations	object		0.2		
yfhK	generalizations	object		0.2		
ydhR	generalizations	object		0.2		
trpA	generalizations	object		0.2		
soxS	generalizations	object		0.2		
ymdC	generalizations	object		0.2		
yjdN	generalizations	object		0.2		
nrfC	generalizations	object		0.2		
yjdJ	generalizations	object		0.2		
yojO	generalizations	object		0.2		
yfjV	generalizations	object		0.2		
yhhI	generalizations	object		0.2		
sfmD	generalizations	object		0.2		
rfaH	generalizations	object		0.2		
lplA	generalizations	object		0.2		
yihQ	generalizations	object		0.2		
cheR	generalizations	object		0.2		
mdoH	generalizations	object		0.2		
tag	generalizations	object		0.2		
mhpB	generalizations	object		0.2		
mdtA	generalizations	object		0.2		
acnA	generalizations	object		0.2		
crr	generalizations	object		0.2		
ybjJ	generalizations	object		0.2		
yggP	generalizations	object		0.2		
torA	generalizations	object		0.2		
bglA	generalizations	object		0.2		
yhdU	generalizations	object		0.2		
tdh	generalizations	object		0.2		
fimD	generalizations	object		0.2		
secM	generalizations	object		0.2		
ygcH	generalizations	object		0.2		
yfhD	generalizations	object		0.2		
pdxJ	generalizations	object		0.2		
yfbQ	generalizations	object		0.2		
srlR	generalizations	object		0.2		
ybhP	generalizations	object		0.2		
yqgE	generalizations	object		0.2		
rhlB	generalizations	object		0.2		
yfaQ	generalizations	object		0.2		
rhtC	generalizations	object		0.2		
yfcQ	generalizations	object		0.2		
thiD	generalizations	object		0.2		
glnE	generalizations	object		0.2		
hisQ	generalizations	object		0.2		
ompR	generalizations	object		0.2		
ihfB	generalizations	object		0.2		
sapC	generalizations	object		0.2		
ykgP	generalizations	object		0.2		
rplD	generalizations	object		0.2		
ydfW	generalizations	object		0.2		
dksA	generalizations	object		0.2		
pheT	generalizations	object		0.2		
ddlB	generalizations	object		0.2		
pepP	generalizations	object		0.2		
glnP	generalizations	object		0.2		
ycgZ	generalizations	object		0.2		
ygcR	generalizations	object		0.2		
hyi	generalizations	object		0.2		
yidH	generalizations	object		0.2		
rsmD	generalizations	object		0.2		
glyS	generalizations	object		0.2		
kptA	generalizations	object		0.2		
atoS	generalizations	object		0.2		
rutG	generalizations	object		0.2		
glpB	generalizations	object		0.2		
treB	generalizations	object		0.2		
cusA	generalizations	object		0.2		
yciX	generalizations	object		0.2		
ybfC	generalizations	object		0.2		
evgS	generalizations	object		0.2		
rhaS	generalizations	object		0.2		
ybgF	generalizations	object		0.2		
alaV	generalizations	object		0.2		
pspA	generalizations	object		0.2		
hda	generalizations	object		0.2		
gatR	generalizations	object		0.2		
lsrK	generalizations	object		0.2		
aroG	generalizations	object		0.2		
rne	generalizations	object		0.2		
sufA	generalizations	object		0.2		
phnL	generalizations	object		0.2		
yiaT	generalizations	object		0.2		
wbbK	generalizations	object		0.2		
ybbN	generalizations	object		0.2		
yhhJ	generalizations	object		0.2		
ccmC	generalizations	object		0.2		
yhfA	generalizations	object		0.2		
cysH	generalizations	object		0.2		
ygcW	generalizations	object		0.2		
flgG	generalizations	object		0.2		
tnaA	generalizations	object		0.2		
ymfA	generalizations	object		0.2		
yaiA	generalizations	object		0.2		
sfsB	generalizations	object		0.2		
hrpA	generalizations	object		0.2		
lsrR	generalizations	object		0.2		
ygaD	generalizations	object		0.2		
nrdB	generalizations	object		0.2		
ydjE	generalizations	object		0.2		
ligA	generalizations	object		0.2		
chbA	generalizations	object		0.2		
ycjQ	generalizations	object		0.2		
add	generalizations	object		0.2		
yahC	generalizations	object		0.2		
degS	generalizations	object		0.2		
araC	generalizations	object		0.2		
fadK	generalizations	object		0.2		
uvrC	generalizations	object		0.2		
yqeB	generalizations	object		0.2		
syd	generalizations	object		0.2		
yigM	generalizations	object		0.2		
ybcO	generalizations	object		0.2		
tsx	generalizations	object		0.2		
yhbU	generalizations	object		0.2		
stfR	generalizations	object		0.2		
rpsM	generalizations	object		0.2		
slp	generalizations	object		0.2		
yoeG	generalizations	object		0.2		
frmA	generalizations	object		0.2		
xdhD	generalizations	object		0.2		
xylR	generalizations	object		0.2		
yigZ	generalizations	object		0.2		
luxS	generalizations	object		0.2		
yaiL	generalizations	object		0.2		
hyfI	generalizations	object		0.2		
fhuB	generalizations	object		0.2		
hemX	generalizations	object		0.2		
paaY	generalizations	object		0.2		
yedN	generalizations	object		0.2		
fes	generalizations	object		0.2		
alaS	generalizations	object		0.2		
mog	generalizations	object		0.2		
yahG	generalizations	object		0.2		
yeiE	generalizations	object		0.2		
glcC	generalizations	object		0.2		
yccK	generalizations	object		0.2		
aspC	generalizations	object		0.2		
artP	generalizations	object		0.2		
ygaW	generalizations	object		0.2		
borD	generalizations	object		0.2		
lrp	generalizations	object		0.2		
