Entity	Relation	Value	Iteration of Promotion	Probability	Source	Candidate Source
concept:gene:groS	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Kanamycin		1.0		
concept:gene:hupA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Streptonigrin		1.0		
concept:gene:emrD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Oxacillin		1.0		
concept:gene:dam	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cephradine		1.0		
concept:gene:waaB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Trimethoprim		1.0		
concept:gene:hslU	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:CHIR090		1.0		
concept:gene:yidD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Streptomycin		1.0		
concept:gene:tusD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Neomycin		1.0		
concept:gene:mutM	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Kanamycin		1.0		
concept:gene:cpxR	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Ceftazidime		1.0		
concept:gene:pspC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Kanamycin		1.0		
concept:gene:guaB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:CHIR090		1.0		
concept:gene:yjfP	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Novobiocin		1.0		
concept:gene:gshB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Metronidazole		1.0		
concept:gene:tolB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Oxacillin		1.0		
concept:gene:yihS	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline#SPACE#hyclate		1.0		
concept:gene:ybiA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Lomefloxacin		1.0		
concept:gene:wcaI	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Novobiocin		1.0		
concept:gene:damX	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cefsulodin		1.0		
concept:gene:proK	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Phleomycin		1.0		
concept:gene:fabR	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:CHIR090		1.0		
concept:gene:waaP	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Azithromycin		1.0		
concept:gene:gpmM	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Streptonigrin		1.0		
concept:gene:pqqL	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Novobiocin		1.0		
concept:gene:pgaC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Neomycin		1.0		
concept:gene:gmd	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Polymyxin#SPACE#B		1.0		
concept:gene:ohsC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Spiramycin		1.0		
concept:gene:yibA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Amoxicillin		1.0		
concept:gene:yfbJ	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline#SPACE#hyclate		1.0		
concept:gene:ftsP	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Ceftazidime		1.0		
concept:gene:intQ	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Fosfomycin		1.0		
concept:gene:rfaD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:CHIR090		1.0		
concept:gene:fau	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Sulfamonomethoxine		1.0		
