Entity	Relation	Value	Iteration of Promotion	Probability	Source	Candidate Source
concept:modF	generalizations	concept:gene		1.0		
concept:pyrimidine#SPACE#nucleobase#SPACE#salvage	generalizations	concept:biological_process		1.0		
concept:L-asparagine#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:artM	generalizations	concept:gene		1.0		
concept:kefA	generalizations	concept:gene		1.0		
concept:rzpQ	generalizations	concept:gene		1.0		
concept:yedW	generalizations	concept:gene		1.0		
concept:yhhZ	generalizations	concept:gene		1.0		
concept:tfaE	generalizations	concept:gene		1.0		
concept:pantetheine-phosphate#SPACE#adenylyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:rsuA	generalizations	concept:gene		1.0		
concept:insF-1	generalizations	concept:gene		1.0		
concept:yjgJ	generalizations	concept:gene		1.0		
concept:rep	generalizations	concept:gene		1.0		
concept:Ciprofloxacin	generalizations	concept:antibiotic		1.0		
concept:dsdX	generalizations	concept:gene		1.0		
concept:ATP-independent#SPACE#chaperone#SPACE#mediated#SPACE#protein#SPACE#folding	generalizations	concept:biological_process		1.0		
concept:nlpD	generalizations	concept:gene		1.0		
concept:yhjJ	generalizations	concept:gene		1.0		
concept:torA	generalizations	concept:gene		1.0		
concept:ymfL	generalizations	concept:gene		1.0		
concept:ymgJ	generalizations	concept:gene		1.0		
concept:osmF	generalizations	concept:gene		1.0		
concept:ybjH	generalizations	concept:gene		1.0		
concept:mtgA	generalizations	concept:gene		1.0		
concept:ydeS	generalizations	concept:gene		1.0		
concept:rfaF	generalizations	concept:gene		1.0		
concept:Gram-negative-bacterium-type#SPACE#cell#SPACE#outer#SPACE#membrane#SPACE#assembly	generalizations	concept:biological_process		1.0		
concept:yiiX	generalizations	concept:gene		1.0		
concept:ybgP	generalizations	concept:gene		1.0		
concept:ribosome#SPACE#disassembly	generalizations	concept:biological_process		1.0		
concept:cusR	generalizations	concept:gene		1.0		
concept:response#SPACE#to#SPACE#paraquat	generalizations	concept:biological_process		1.0		
concept:nucleotidyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:cobC	generalizations	concept:gene		1.0		
concept:positive#SPACE#regulation#SPACE#of#SPACE#macromolecule#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:Moxalactam	generalizations	concept:antibiotic		1.0		
concept:ynaE	generalizations	concept:gene		1.0		
concept:yjdA	generalizations	concept:gene		1.0		
concept:acetylglutamate#SPACE#kinase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yoaG	generalizations	concept:gene		1.0		
concept:guanylate#SPACE#kinase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:mltA	generalizations	concept:gene		1.0		
concept:xdhD	generalizations	concept:gene		1.0		
concept:menD	generalizations	concept:gene		1.0		
concept:negative#SPACE#regulation#SPACE#of#SPACE#cell#SPACE#killing	generalizations	concept:biological_process		1.0		
concept:ykgN	generalizations	concept:gene		1.0		
concept:yaiV	generalizations	concept:gene		1.0		
concept:insF-4	generalizations	concept:gene		1.0		
concept:yfdZ	generalizations	concept:gene		1.0		
concept:rclR	generalizations	concept:gene		1.0		
concept:trpA	generalizations	concept:gene		1.0		
concept:dacC	generalizations	concept:gene		1.0		
concept:thiE	generalizations	concept:gene		1.0		
concept:sulfathiazole#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yciI	generalizations	concept:gene		1.0		
concept:yjhR	generalizations	concept:gene		1.0		
concept:yneM	generalizations	concept:gene		1.0		
concept:evgS	generalizations	concept:gene		1.0		
concept:insM	generalizations	concept:gene		1.0		
concept:rumA	generalizations	concept:gene		1.0		
concept:ppdC	generalizations	concept:gene		1.0		
concept:yicE	generalizations	concept:gene		1.0		
concept:yhaH	generalizations	concept:gene		1.0		
concept:hipA	generalizations	concept:gene		1.0		
concept:phosphoribosylamine-glycine#SPACE#ligase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:tehA	generalizations	concept:gene		1.0		
concept:lysine#SPACE#decarboxylase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:thymidine#SPACE#kinase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:gspI	generalizations	concept:gene		1.0		
concept:glycine#SPACE#dehydrogenase#SPACE#(decarboxylating)#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ygeR	generalizations	concept:gene		1.0		
concept:chorismate#SPACE#synthase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ortT	generalizations	concept:gene		1.0		
concept:amyA	generalizations	concept:gene		1.0		
concept:tRNA#SPACE#2-selenouridine#SPACE#synthase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:nudH	generalizations	concept:gene		1.0		
concept:rfbC	generalizations	concept:gene		1.0		
concept:rRNA#SPACE#(pseudouridine-N3-)-methyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:araC	generalizations	concept:gene		1.0		
concept:ycjW	generalizations	concept:gene		1.0		
concept:guanine#SPACE#salvage	generalizations	concept:biological_process		1.0		
concept:sorbitol-6-phosphate#SPACE#2-dehydrogenase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:quinoprotein#SPACE#glucose#SPACE#dehydrogenase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:3'-5'-exodeoxyribonuclease#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:shoB	generalizations	concept:gene		1.0		
concept:regulation#SPACE#of#SPACE#transcription#SPACE#by#SPACE#RNA#SPACE#polymerase#SPACE#II	generalizations	concept:biological_process		1.0		
concept:tryptophan-tRNA#SPACE#ligase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:bacterial-type#SPACE#DNA#SPACE#replication	generalizations	concept:biological_process		1.0		
concept:D#COMMA#D-heptose#SPACE#1#COMMA#7-bisphosphate#SPACE#phosphatase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yfiR	generalizations	concept:gene		1.0		
concept:cysZ	generalizations	concept:gene		1.0		
concept:lysophospholipase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ypjM_2	generalizations	concept:gene		1.0		
concept:chitin#SPACE#disaccharide#SPACE#deacetylase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:cytidine#SPACE#deaminase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:infC	generalizations	concept:gene		1.0		
concept:rescue#SPACE#of#SPACE#stalled#SPACE#ribosome	generalizations	concept:biological_process		1.0		
concept:ilvB	generalizations	concept:gene		1.0		
concept:modA	generalizations	concept:gene		1.0		
concept:glcB	generalizations	concept:gene		1.0		
concept:large#SPACE#ribosomal#SPACE#subunit	generalizations	concept:cellular_component		1.0		
concept:yggP	generalizations	concept:gene		1.0		
concept:insB-2	generalizations	concept:gene		1.0		
concept:yajO	generalizations	concept:gene		1.0		
concept:uidA	generalizations	concept:gene		1.0		
concept:FAD#SPACE#transmembrane#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:lysP	generalizations	concept:gene		1.0		
concept:cellular#SPACE#response#SPACE#to#SPACE#temperature#SPACE#stimulus	generalizations	concept:biological_process		1.0		
