fold	Antibiotic	genes_resist	test_edges	dev_edges	edges_in_train	confer_edges_in_train
fold_0	Thiolactomycin	24	3	1	20	20
fold_0	Novobiocin	37	8	2	27	27
fold_0	Neomycin	72	14	6	52	52
fold_0	Azithromycin	35	3	4	28	28
fold_0	Carbenicillin	27	2	2	23	23
fold_0	Cephradine	72	13	11	48	48
fold_0	Cerulenin	18	3	0	15	15
fold_0	Chloramphenicol	12	3	1	8	8
fold_0	Clarythromycin	32	9	2	21	21
fold_0	Doxorubicin	7	3	0	4	4
fold_0	Doxycycline	62	13	1	48	48
fold_0	Mecillinam	59	12	2	45	45
fold_0	Minocycline	52	11	6	35	35
fold_0	Mitomycin#SPACE#C	31	7	0	24	24
fold_0	Oxacillin	27	5	3	19	19
fold_0	Streptonigrin	53	11	5	37	37
fold_0	Triclosan	23	4	0	19	18
fold_0	CHIR090	72	11	9	52	52
fold_0	Doxycycline#SPACE#hyclate	22	4	0	18	18
fold_0	Lomefloxacin	53	9	8	36	36
fold_0	Colistin	59	8	6	45	45
fold_0	Ampicillin	20	1	0	19	0
fold_0	Trimethoprim	10	1	0	9	9
fold_0	Fosfomycin	70	15	5	50	50
fold_0	Amoxicillin	51	10	3	38	38
fold_0	Spectinomycin	47	9	4	34	34
fold_0	Ceftazidime	52	13	6	33	33
fold_0	Cefsulodin	99	15	10	70	70
fold_0	Cefoxitin	14	0	1	13	2
fold_0	Rifampin	12	0	0	12	0
fold_0	Geneticin	5	1	0	4	4
fold_0	Paromomycin	5	1	0	4	4
fold_0	Troleandomycin	4	1	0	3	3
fold_0	Tetracycline	3	1	0	2	2
fold_0	Bacitracin	51	12	5	34	34
fold_0	Dactinomycin	45	13	3	29	29
fold_0	Nigericin	4	1	1	2	2
fold_0	Phleomycin	32	5	1	26	26
fold_0	Tunicamycin	13	3	1	9	9
fold_0	Spiramycin	3	0	1	2	2
fold_0	Vancomycin	13	4	1	8	8
fold_0	Cefoperazone	1	0	1	0	0
fold_0	Oxytetracycline	1	0	0	1	1
fold_0	Rolitetracycline	1	1	0	0	0
fold_0	Sulfachloropyridazine	1	0	0	1	1
fold_0	Sulfathiazole	2	0	0	2	2
fold_0	Sulfisoxazole	1	0	0	1	1
fold_0	Cefazolin	1	1	0	0	0
fold_0	Cephalothin	1	0	0	1	1
fold_0	Nafcillin	1	0	0	1	1
fold_0	Penicillin#SPACE#G	1	1	0	0	0
fold_0	Kanamycin	97	6	6	85	36
fold_0	Lincomycin	2	0	0	2	2
fold_0	Dihydrostreptomycin	1	1	0	0	0
fold_0	Josamycin	2	1	0	1	1
fold_0	Hygromycin#SPACE#B	8	2	1	5	5
fold_0	Sulfamethizole	10	1	1	8	8
fold_0	Blasticidin#SPACE#S	2	1	0	1	1
fold_0	Bleomycin	3	1	0	2	2
fold_0	Polymyxin#SPACE#B	16	5	0	11	11
fold_0	Enoxacin	4	1	1	2	1
fold_0	Bicyclomycin	17	9	1	7	6
fold_0	Metronidazole	39	6	1	32	32
fold_0	Sulfamethoxazole	32	6	3	23	23
fold_0	Norfloxacin	41	3	1	37	5
fold_0	Rifamycin#SPACE#SV	2	1	0	1	1
fold_0	Cefamandole	2	0	0	2	2
fold_0	Sulfamonomethoxine	2	2	0	0	0
fold_0	Streptomycin	7	2	0	5	4
fold_0	Fusidic#SPACE#acid	1	0	0	1	0
fold_0	Capreomycin	2	1	0	1	1
fold_0	Levofloxacin	12	3	1	8	8
fold_0	Ciprofloxacin	3	0	0	3	0
fold_0	Chlortetracycline	1	0	0	1	1
fold_0	Radicicol	3	1	0	2	2
fold_0	Puromycin	1	0	0	1	1
fold_0	Oxycarboxin	1	0	0	1	1
fold_0	Sulfadiazine	2	1	0	1	1
fold_0	Sulfanilamide	1	0	0	1	1
fold_0	Ofloxacin	1	0	0	1	1
fold_0	Penimepicycline	2	1	0	1	1
fold_0	Tylosin	1	0	0	1	1
fold_0	Cloxacillin	3	0	1	2	2
fold_0	5-Nitro-2-furaldehyde#SPACE#semicarbazone	1	1	0	0	0
fold_0	Furaltadone	2	0	0	2	2
fold_0	Tinidazole	2	0	0	2	2
fold_0	Sulfamethazine	2	0	0	2	2
fold_0	Hygromycin#SPACE#	1	1	0	0	0
fold_0	Cefmetazole	1	0	0	1	1
fold_0	Cefuroxime	1	0	0	1	1
fold_0	Moxalactam	1	1	0	0	0
fold_0	Phenethicillin	1	0	1	0	0
fold_0	Oleandomycin	1	1	0	0	0
fold_0	Apramycin	1	0	0	1	1
fold_0	Sisomicin	1	0	0	1	1
fold_0	Gentamicins	1	0	0	1	1
fold_0	Ornidazole	1	0	0	1	1
fold_1	Thiolactomycin	24	9	1	14	14
fold_1	Novobiocin	37	7	2	28	28
fold_1	Neomycin	72	16	5	51	51
fold_1	Azithromycin	35	6	2	27	27
fold_1	Carbenicillin	27	12	4	11	11
fold_1	Cephradine	72	16	4	52	52
fold_1	Cerulenin	18	4	1	13	13
fold_1	Chloramphenicol	12	4	1	7	7
fold_1	Clarythromycin	32	1	2	29	29
fold_1	Doxorubicin	7	2	0	5	5
fold_1	Doxycycline	62	7	7	48	48
fold_1	Mecillinam	59	14	5	40	40
fold_1	Minocycline	52	16	5	31	31
fold_1	Mitomycin#SPACE#C	31	7	2	22	22
fold_1	Oxacillin	27	6	1	20	20
fold_1	Streptonigrin	53	10	1	42	42
fold_1	Triclosan	23	3	4	16	15
fold_1	CHIR090	72	14	2	56	56
fold_1	Doxycycline#SPACE#hyclate	22	2	2	18	18
fold_1	Lomefloxacin	53	9	6	38	38
fold_1	Colistin	59	14	5	40	40
fold_1	Ampicillin	20	0	0	20	1
fold_1	Trimethoprim	10	0	4	6	6
fold_1	Fosfomycin	70	17	3	50	50
fold_1	Amoxicillin	51	14	4	33	33
fold_1	Spectinomycin	47	11	7	29	29
fold_1	Ceftazidime	52	8	5	39	39
fold_1	Cefsulodin	99	15	6	74	74
fold_1	Cefoxitin	14	1	0	13	2
fold_1	Rifampin	12	0	0	12	0
fold_1	Geneticin	5	0	1	4	4
fold_1	Paromomycin	5	1	0	4	4
fold_1	Troleandomycin	4	1	2	1	1
fold_1	Tetracycline	3	0	0	3	3
fold_1	Bacitracin	51	11	4	36	36
fold_1	Dactinomycin	45	7	2	36	36
fold_1	Nigericin	4	1	0	3	3
fold_1	Phleomycin	32	3	7	22	22
fold_1	Tunicamycin	13	3	1	9	9
fold_1	Spiramycin	3	3	0	0	0
fold_1	Vancomycin	13	5	2	6	6
fold_1	Cefoperazone	1	1	0	0	0
fold_1	Oxytetracycline	1	0	0	1	1
fold_1	Rolitetracycline	1	0	0	1	1
fold_1	Sulfachloropyridazine	1	0	0	1	1
fold_1	Sulfathiazole	2	1	0	1	1
fold_1	Sulfisoxazole	1	0	0	1	1
fold_1	Cefazolin	1	0	1	0	0
fold_1	Cephalothin	1	0	0	1	1
fold_1	Nafcillin	1	1	0	0	0
fold_1	Penicillin#SPACE#G	1	0	0	1	1
fold_1	Kanamycin	97	11	3	83	34
fold_1	Lincomycin	2	1	0	1	1
fold_1	Dihydrostreptomycin	1	0	0	1	1
fold_1	Josamycin	2	0	0	2	2
fold_1	Hygromycin#SPACE#B	8	0	3	5	5
fold_1	Sulfamethizole	10	1	1	8	8
fold_1	Blasticidin#SPACE#S	2	0	0	2	2
fold_1	Bleomycin	3	0	0	3	3
fold_1	Polymyxin#SPACE#B	16	3	3	10	10
fold_1	Enoxacin	4	0	0	4	3
fold_1	Bicyclomycin	17	1	2	14	13
fold_1	Metronidazole	39	12	0	27	27
fold_1	Sulfamethoxazole	32	2	3	27	27
fold_1	Norfloxacin	41	0	0	41	9
fold_1	Rifamycin#SPACE#SV	2	0	0	2	2
fold_1	Cefamandole	2	0	0	2	2
fold_1	Sulfamonomethoxine	2	0	0	2	2
fold_1	Streptomycin	7	0	0	7	6
fold_1	Fusidic#SPACE#acid	1	0	0	1	0
fold_1	Capreomycin	2	1	1	0	0
fold_1	Levofloxacin	12	3	0	9	9
fold_1	Ciprofloxacin	3	0	0	3	0
fold_1	Chlortetracycline	1	1	0	0	0
fold_1	Radicicol	3	0	1	2	2
fold_1	Puromycin	1	0	0	1	1
fold_1	Oxycarboxin	1	0	0	1	1
fold_1	Sulfadiazine	2	0	0	2	2
fold_1	Sulfanilamide	1	0	0	1	1
fold_1	Ofloxacin	1	0	0	1	1
fold_1	Penimepicycline	2	0	0	2	2
fold_1	Tylosin	1	0	0	1	1
fold_1	Cloxacillin	3	1	1	1	1
fold_1	5-Nitro-2-furaldehyde#SPACE#semicarbazone	1	0	0	1	1
fold_1	Furaltadone	2	0	0	2	2
fold_1	Tinidazole	2	0	1	1	1
fold_1	Sulfamethazine	2	0	0	2	2
fold_1	Hygromycin#SPACE#	1	0	0	1	1
fold_1	Cefmetazole	1	0	0	1	1
fold_1	Cefuroxime	1	0	0	1	1
fold_1	Moxalactam	1	0	0	1	1
fold_1	Phenethicillin	1	1	0	0	0
fold_1	Oleandomycin	1	0	0	1	1
fold_1	Apramycin	1	0	0	1	1
fold_1	Sisomicin	1	1	0	0	0
fold_1	Gentamicins	1	0	0	1	1
fold_1	Ornidazole	1	1	0	0	0
fold_2	Thiolactomycin	24	2	2	20	20
fold_2	Novobiocin	37	7	5	25	25
fold_2	Neomycin	72	18	9	45	45
fold_2	Azithromycin	35	10	0	25	25
fold_2	Carbenicillin	27	4	3	20	20
fold_2	Cephradine	72	11	4	57	57
fold_2	Cerulenin	18	3	1	14	14
fold_2	Chloramphenicol	12	0	2	10	10
fold_2	Clarythromycin	32	10	3	19	19
fold_2	Doxorubicin	7	0	1	6	6
fold_2	Doxycycline	62	12	6	44	44
fold_2	Mecillinam	59	10	6	43	43
fold_2	Minocycline	52	9	3	40	40
fold_2	Mitomycin#SPACE#C	31	5	3	23	23
fold_2	Oxacillin	27	5	0	22	22
fold_2	Streptonigrin	53	15	1	37	37
fold_2	Triclosan	23	5	2	16	15
fold_2	CHIR090	72	18	11	43	43
fold_2	Doxycycline#SPACE#hyclate	22	5	1	16	16
fold_2	Lomefloxacin	53	13	2	38	38
fold_2	Colistin	59	13	5	41	41
fold_2	Ampicillin	20	0	0	20	1
fold_2	Trimethoprim	10	2	0	8	8
fold_2	Fosfomycin	70	12	4	54	54
fold_2	Amoxicillin	51	12	4	35	35
fold_2	Spectinomycin	47	9	4	34	34
fold_2	Ceftazidime	52	12	4	36	36
fold_2	Cefsulodin	99	27	5	63	63
fold_2	Cefoxitin	14	1	0	13	2
fold_2	Rifampin	12	0	0	12	0
fold_2	Geneticin	5	3	0	2	2
fold_2	Paromomycin	5	0	0	5	5
fold_2	Troleandomycin	4	1	0	3	3
fold_2	Tetracycline	3	0	1	2	2
fold_2	Bacitracin	51	6	8	37	37
fold_2	Dactinomycin	45	7	3	35	35
fold_2	Nigericin	4	0	1	3	3
fold_2	Phleomycin	32	10	1	21	21
fold_2	Tunicamycin	13	6	2	5	5
fold_2	Spiramycin	3	0	0	3	3
fold_2	Vancomycin	13	1	0	12	12
fold_2	Cefoperazone	1	0	1	0	0
fold_2	Oxytetracycline	1	0	0	1	1
fold_2	Rolitetracycline	1	0	0	1	1
fold_2	Sulfachloropyridazine	1	0	0	1	1
fold_2	Sulfathiazole	2	1	0	1	1
fold_2	Sulfisoxazole	1	0	0	1	1
fold_2	Cefazolin	1	0	0	1	1
fold_2	Cephalothin	1	0	0	1	1
fold_2	Nafcillin	1	0	0	1	1
fold_2	Penicillin#SPACE#G	1	0	0	1	1
fold_2	Kanamycin	97	7	1	89	40
fold_2	Lincomycin	2	1	0	1	1
fold_2	Dihydrostreptomycin	1	0	0	1	1
fold_2	Josamycin	2	0	0	2	2
fold_2	Hygromycin#SPACE#B	8	0	1	7	7
fold_2	Sulfamethizole	10	4	1	5	5
fold_2	Blasticidin#SPACE#S	2	0	0	2	2
fold_2	Bleomycin	3	0	1	2	2
fold_2	Polymyxin#SPACE#B	16	1	3	12	12
fold_2	Enoxacin	4	0	0	4	3
fold_2	Bicyclomycin	17	1	3	13	12
fold_2	Metronidazole	39	6	5	28	28
fold_2	Sulfamethoxazole	32	6	1	25	25
fold_2	Norfloxacin	41	1	2	38	6
fold_2	Rifamycin#SPACE#SV	2	1	0	1	1
fold_2	Cefamandole	2	1	0	1	1
fold_2	Sulfamonomethoxine	2	0	0	2	2
fold_2	Streptomycin	7	0	1	6	5
fold_2	Fusidic#SPACE#acid	1	0	0	1	0
fold_2	Capreomycin	2	0	0	2	2
fold_2	Levofloxacin	12	3	1	8	8
fold_2	Ciprofloxacin	3	0	0	3	0
fold_2	Chlortetracycline	1	0	0	1	1
fold_2	Radicicol	3	1	1	1	1
fold_2	Puromycin	1	1	0	0	0
fold_2	Oxycarboxin	1	0	0	1	1
fold_2	Sulfadiazine	2	1	0	1	1
fold_2	Sulfanilamide	1	1	0	0	0
fold_2	Ofloxacin	1	0	0	1	1
fold_2	Penimepicycline	2	0	0	2	2
fold_2	Tylosin	1	0	0	1	1
fold_2	Cloxacillin	3	0	0	3	3
fold_2	5-Nitro-2-furaldehyde#SPACE#semicarbazone	1	0	0	1	1
fold_2	Furaltadone	2	1	0	1	1
fold_2	Tinidazole	2	1	0	1	1
fold_2	Sulfamethazine	2	0	0	2	2
fold_2	Hygromycin#SPACE#	1	0	0	1	1
fold_2	Cefmetazole	1	0	0	1	1
fold_2	Cefuroxime	1	0	1	0	0
fold_2	Moxalactam	1	0	0	1	1
fold_2	Phenethicillin	1	0	0	1	1
fold_2	Oleandomycin	1	0	0	1	1
fold_2	Apramycin	1	0	0	1	1
fold_2	Sisomicin	1	0	0	1	1
fold_2	Gentamicins	1	0	0	1	1
fold_2	Ornidazole	1	0	0	1	1
fold_3	Thiolactomycin	24	4	1	19	19
fold_3	Novobiocin	37	6	1	30	30
fold_3	Neomycin	72	12	6	54	54
fold_3	Azithromycin	35	7	3	25	25
fold_3	Carbenicillin	27	4	3	20	20
fold_3	Cephradine	72	15	4	53	53
fold_3	Cerulenin	18	2	2	14	14
fold_3	Chloramphenicol	12	3	0	9	9
fold_3	Clarythromycin	32	5	1	26	26
fold_3	Doxorubicin	7	2	1	4	4
fold_3	Doxycycline	62	17	5	40	40
fold_3	Mecillinam	59	13	5	41	41
fold_3	Minocycline	52	8	3	41	41
fold_3	Mitomycin#SPACE#C	31	4	2	25	25
fold_3	Oxacillin	27	7	1	19	19
fold_3	Streptonigrin	53	10	4	39	39
fold_3	Triclosan	23	3	3	17	16
fold_3	CHIR090	72	15	7	50	50
fold_3	Doxycycline#SPACE#hyclate	22	6	1	15	15
fold_3	Lomefloxacin	53	12	7	34	34
fold_3	Colistin	59	17	4	38	38
fold_3	Ampicillin	20	0	0	20	1
fold_3	Trimethoprim	10	2	1	7	7
fold_3	Fosfomycin	70	12	5	53	53
fold_3	Amoxicillin	51	7	6	38	38
fold_3	Spectinomycin	47	8	4	35	35
fold_3	Ceftazidime	52	8	3	41	41
fold_3	Cefsulodin	99	21	6	68	68
